"question","options","answer"
"福州大学“三种精神”中，以()为代表的严谨求实的治学精神。","卢嘉锡先生 | 张孤梅同志 | 魏可镁院士 | 陈嘉庚先生","卢嘉锡先生"
"福州大学学生上一学期平均学分绩点在()及以上者，可以申请免听某门课程。","2.0 | 2.5 | 3.0 | 3.5","3.0"
"考试开始()分钟后，学生方可交卷。","30 | 15 | 20 | 45","30"
"代替他人或者让他人代替自己参加考试、组织作弊、使用通讯设备或其他器材作弊、向他人出售考试试题或答案牟取利益，以及其他严重作弊或扰乱考试秩序行为的，处以()处分","留校察看 | 开除学籍 | 严重警告 | 记大过","开除学籍"
"根据《福州大学学生住宿管理办法》，学生在学期间因特殊情况需要退宿的，原则上基于三类情况，以下哪项不属于这三类情况？()","学生家住福州市，距离学校15公里以内 | 因身心健康问题，需单独住宿且有家人陪读 | 研究生因学业需要赴校外单位实验、实习 | 学生因家庭经济困难，无法承担住宿费用","学生因家庭经济困难，无法承担住宿费用"
"本科新生因疾病申请保留入学资格的，可保留入学资格()。","1年 | 1至2年 | 2年 | 至退役后2年","1至2年"
"对学生的处分决定书应当包括申诉的途径和期限，该期限一般为()。","5日 | 10日 | 15日 | 30日","10日"
"文化科技创新创业奖学金中，发明专利的奖励积分为()分/项。","5 | 10 | 20 | 30","30"
"新生因故不能按期报到者，请假时间一般不得超过（）。","一周 | 两周 | 三周 | 一个月","两周"
"在校学生应征参加中国人民解放军（含中国人民武装警察部队），可保留学籍至退役后（）年。","1 | 2 | 3 | 4","2"
"辅修专业总学分控制在（）学分。","30～35 | 35～40 | 42～45 | 45～50","42～45"
"国家励志奖学金的奖励标准为每人每年（）元。","4000 | 5000 | 6000 | 8000","6000"
"国家励志奖学金的奖励标准为每人每年（）元。","5000 | 6000 | 8000 | 10000","6000"
"学生不得有（）行为。","进行邪教、封建迷信活动 | 打架斗殴 | 非法传销 | 以上都","以上都"
"每学年开学多长时间内，各学院必须再次核对学生住宿信息。","一星期内 | 十五天内 | 一个月内 | 两个月内","一个月内"
"优秀学生综合奖学金一等奖的金额为每学期（）元。","1000 | 1500 | 2000 | 2500","1500"
"国家奖学金的奖励标准为每人每年（）元。","6000 | 8000 | 10000 | 12000","10000"
"国家励志奖学金的奖励标准为每人每年（）元。","4000 | 6000 | 8000 | 10000","6000"
"学生迟到、早退者（）次折算为旷课1学时。","二次 | 三次 | 四次 | 五次","三次"
"福州大学""三种精神""中，以卢嘉锡先生为代表的是（）。","艰苦奋斗的创业精神 | 严谨求实的治学精神 | 勇于拼搏的奉献精神 | 自强不息的奋斗精神","严谨求实的治学精神"
"在校学生应征参加中国人民解放军，可保留学籍至退役后（）。","1年 | 2年 | 3年 | 4年","2年"
"《中华人民共和国学位法》自（）起施行。","2024年4月26日 | 2024年9月1日 | 2025年1月1日 | 2025年9月1日","2025年1月1日"
"辅修专业应制订独立的培养方案，课程应涵盖专业基础课和专业方向课的主要课程、毕业论文（设计）等环节，辅修专业总学分控制在（）学分。","47～50 | 45～47 | 42～45 | 40～42","42～45"
"优秀学生综合奖学金设立一等奖、二等奖、三等奖，其中二等奖（）元/学期。","1000 | 900 | 800 | 500","1000"
"在一学期内请事假时间累计不得超过（）。","两周 | 一个月 | 两个月 | 三个月","一个月"
"学生已修读的必修课中，课程考核不及格的学分数累计达到（），由学院劝其退学。","20学分 | 25学分 | 30学分 | 40学分","30学分"
"补考取得及格及以上成绩，2017 级以后学生该课程绩点记为（）","按实际分数折算 | 1 | 1.3 | 1.5","1"
"学生申请缓考，同一门课程只能申请（）次","1 | 2 | 3 | 不限","1"
"学生缺课学时超过课程教学计划时数（），取消该门课程考核资格","1/2 | 1/3 | 1/4 | 2/3","1/3"
"国家奖学金本科生奖励标准每人每年（）元","6000 | 8000 | 10000 | 12000","10000"
"学生不能转学的情形有（）。","入学未满一学期 | 毕业前一年 | 高考成绩低于拟转入学校相关专业同一生源地相应年份录取成绩的 | 患病无法继续在本校学习","入学未满一学期 | 毕业前一年 | 高考成绩低于拟转入学校相关专业同一生源地相应年份录取成绩的"
"学校实行学业预警制度，下面说法正确的（）。","必修课不及格累计20学分给予学业危机警告 | 必修课不及格累计30学分学院劝其退学 | 挂科1学分就直接退学 | 不通知家长","必修课不及格累计20学分给予学业危机警告 | 必修课不及格累计30学分学院劝其退学"
"学生在校期间依法履行的义务包括()","遵守宪法和法律、法规 | 可以不按规定缴纳学费 | 遵守学校章程和规章制度 | 恪守学术道德，完成规定学业","遵守宪法和法律、法规 | 遵守学校章程和规章制度 | 恪守学术道德，完成规定学业"
"下列哪些课程，福州大学学生不得申请免听与免修？()","思想政治理论课 | 普通专业基础课 | 德育、体育 | 实验、实习、课程设计、毕业设计（论文） | 军事理论","思想政治理论课 | 德育、体育 | 实验、实习、课程设计、毕业设计（论文） | 军事理论"
"学生有下列哪些行为的，认定为考试违规并视情节给予处分？()","携带规定以外的物品进入考场，未按监考人员要求放在指定位置的 | 按指定座位号就座参加考试的 | 考试开始信号发出前答题或者考试结束信号发出后继续答题的 | 携带手机等通讯设备参加考试的","携带规定以外的物品进入考场，未按监考人员要求放在指定位置的 | 考试开始信号发出前答题或者考试结束信号发出后继续答题的 | 携带手机等通讯设备参加考试的"
